pressmark,record_url,digitization_type,digitization_url
latin 8128,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67392k,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10035389s
latin 8129,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67393t,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b100344906
latin 8130,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc673942,none,none
latin 8131,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc673959,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9067998z
latin 8132,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67396j,colorized,https://gallica.bnf.fr/ark:/12148/btv1b6000789v
latin 8133,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67397s,colorized,https://gallica.bnf.fr/ark:/12148/btv1b105090540
latin 8134,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc673981,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10033678c
latin 8135,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc673998,colorized,http://gallica.bnf.fr/ark:/12148/btv1b532021660
latin 8136,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67400d,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9080854t
latin 8137,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67401n,none,none
latin 8138,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67402w,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90726176
latin 8139,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674034,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9078026z
latin 8140,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67404c,none,none
latin 8141,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67405m,none,none
latin 8142,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67406v,none,none
latin 8143,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674073,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9080926v
latin 8144,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67408b,none,none
